EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,growth_cost,n_batch,n_start,n_candidates
1.5783372019314679,0.001,0.1,9.680924211395737,0.001,3.859654372950202,4.280769659608463,0.001,0.001,0.0001,0.0005,9.274591681283294,6.511527500389619,6.903495899345076,94.82390165591545,14.331780789255655,7.2604530869411725,0.0006617082,100,50,15
6.833358448260824,0.001,0.1,8.148105702743933,0.001,4.124431369738449,0.05890557923664774,0.001,0.001,0.0001,0.0005,5.156173008509947,8.686119038136768,17.555159193710256,0.17773815056001396,5.865571759800121,12.079555156231736,0.00067359733,100,50,15
27.319810764283346,0.001,0.1,6.542286477957316,0.001,4.378987480990579,0.6613295080896342,0.001,0.001,0.0001,0.0005,5.206580016228495,0.968399625468469,4.395079927706956,15.723533833482307,2.3328286555062516,19.28009622602831,9.076129e-05,100,50,15
45.8431533100322,0.001,0.1,2.1132894280642285,0.001,3.371744189194362,9.994652281425298,0.001,0.001,0.0001,0.0005,2.4780601885679863,0.5887351525994322,14.477856452579799,55.43944680563596,1.3756424814653534,17.86813286895681,3.2247022e-05,100,50,15
33.39065435965269,0.001,0.1,7.073401495641364,0.001,3.1463741847945004,8.147461905216723,0.001,0.001,0.0001,0.0005,8.302344098538569,4.130230838575473,10.046497998839145,56.03617051181309,15.994176535526858,15.741938779855552,0.00025909423,100,50,15
33.73795321420279,0.001,0.1,4.342678478654467,0.001,6.68739279777733,5.056874571236582,0.001,0.001,0.0001,0.0005,1.8083685207216171,0.06887983347959037,1.8630882023893225,88.79856370178315,1.6959986255750192,1.348626213032098,5.6848166e-06,100,50,15
46.13224281159922,0.001,0.1,9.04172344239181,0.001,0.9080773628326333,1.0203791147794827,0.001,0.001,0.0001,0.0005,1.1040722435754124,5.588462866312415,5.042495577386372,92.83804547257269,5.144421273704607,14.703552795695078,0.00038363165,100,50,15
0.853062525197712,0.001,0.1,7.666359267605515,0.001,3.613740977950639,4.178381542730585,0.001,0.001,0.0001,0.0005,7.761961913542159,1.218623536299065,14.672273792427188,93.28908643674897,10.950169703665527,12.692680735574509,0.00015767613,100,50,15
32.71500453855689,0.001,0.1,7.280906254692841,0.001,0.14107895099570555,4.8889541533544065,0.001,0.001,0.0001,0.0005,2.3973576277649356,0.9931300837949575,6.070576954316563,31.37300385176226,10.231950476276658,9.381189685738773,8.204113e-05,100,50,15
5.782647807015251,0.001,0.1,1.928130503943751,0.001,6.189836658910114,2.8061679736954224,0.001,0.001,0.0001,0.0005,5.234893845984054,9.584209166895665,7.5178449269887455,6.4313800153729,8.309944865346226,11.143960722165215,0.0002329748,100,50,15
18.618623997918498,0.001,0.1,6.671215470385218,0.001,2.5853527781934984,3.085523248783292,0.001,0.001,0.0001,0.0005,0.5267798075600127,7.71956155053641,2.4477743240866268,25.55834398467446,12.623703157848478,15.714272951731909,0.00079971383,100,50,15
48.70010612910883,0.001,0.1,2.5427490263376002,0.001,9.258871669761806,5.500639355198653,0.001,0.001,0.0001,0.0005,8.23230644332559,3.666621350253566,15.69883749882634,95.65697168297578,18.30361883932937,6.987465023235719,0.000102388156,100,50,15
13.660862604310076,0.001,0.1,6.28896973434828,0.001,0.2696947384973003,1.9369454971882927,0.001,0.001,0.0001,0.0005,9.92319244833894,7.120803355807091,8.465256628277615,20.12643944679986,2.89157527776319,2.1856037410687357,0.00020080534,100,50,15
33.373993175940534,0.001,0.1,4.675324242325957,0.001,0.8402590132592436,8.34097439151791,0.001,0.001,0.0001,0.0005,2.8566103985909654,4.818700909920288,12.292950435264562,7.101384484708639,5.979440354288621,17.762901072434744,0.0002976635,100,50,15
40.53731831301908,0.001,0.1,1.2901047277275974,0.001,5.403071136952016,6.184931512039235,0.001,0.001,0.0001,0.0005,4.779765783368738,0.6969172240548804,7.068494572770801,82.17816346533718,10.89912654050718,3.7863198753883798,4.4541706e-05,100,50,15
36.32585525313998,0.001,0.1,3.4912700614705914,0.001,1.2865578096807395,5.758555137822745,0.001,0.001,0.0001,0.0005,6.778635518831605,7.558025562839486,6.660637990926423,60.93215295756064,15.482532401454229,17.147050341856602,0.00021441131,100,50,15
8.33544991741832,0.001,0.1,8.176723149372036,0.001,7.508556140488912,6.147093965522421,0.001,0.001,0.0001,0.0005,5.585323000228236,7.723531527784935,11.212659429639105,69.28954943317375,15.0618477714345,6.454953416551012,0.0003946618,100,50,15
20.559349990481117,0.001,0.1,9.238670622566158,0.001,2.1786351372956494,1.5238047321820203,0.001,0.001,0.0001,0.0005,7.351176561701774,6.656496993876511,3.6822954224002724,52.91143243111331,19.330560221456057,11.891989346761116,0.0006241986,100,50,15
9.269933122151736,0.001,0.1,9.382637565682959,0.001,3.0187557443556345,6.3047470968772235,0.001,0.001,0.0001,0.0005,5.938801427430006,6.006474818947639,1.8287453014531208,52.791581671076635,13.832267690050566,10.096317865551987,0.000766542,100,50,15
31.18844453244078,0.001,0.1,5.387433373275437,0.001,6.252801491662869,2.7361784315429682,0.001,0.001,0.0001,0.0005,9.114544747723816,4.417269579229809,3.2639646748727014,36.0916442366688,12.637524296211144,10.021718393786097,0.00032150495,100,50,15
