EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,growth rate,cost,production rate,n_batch,n_start,is pareto,n_candidates
12.501777151369387,0.001,0.1,2.9807578422578027,0.001,4.5888785872270805,5.52971218844964,0.001,0.001,0.0001,0.0005,4.995705281423911,7.280086159382018,18.37034720757527,48.542610639286806,7.930349474859146,12.93806093575705,7.451028055023109,8.717866927982081,2.17517960704999,0.7284846,2473.3845,0.0,100,50,False,15
43.184388647086465,0.001,0.1,5.164795139187004,0.001,0.3066356186209984,7.608027796600099,0.001,0.001,0.0001,0.0005,5.66680685692877,2.291959284350148,11.278795563350156,29.383050119856247,1.5513308458984931,11.828527868454783,3.4198322100953114,2.578611758406899,2.1804590859435202,0.7402279,2175.1719,0.0,100,50,False,15
20.58167630401384,0.001,0.1,3.1819514970906333,0.001,5.0826589813179694,6.184592907586066,0.001,0.001,0.0001,0.0005,2.19960469608532,0.5455997483658936,11.67060612612241,5.911449278740244,5.893481897835764,16.871429681105447,8.484110790044694,4.275840190089766,1.2382031404941163,0.85,2036.4583,0.000121792764,100,50,False,15
25.222963699061555,0.001,0.1,3.8270950886780843,0.001,9.316275973754562,2.913904430924407,0.001,0.001,0.0001,0.0005,7.902411639558586,6.415506421483302,11.326323949158962,23.713756510685112,11.745566992672554,18.65888579237724,6.0092071883968075,5.71478514072016,3.745135893685375,0.85,2496.682,0.0065875873,100,50,False,15
40.381026268160014,0.001,0.1,2.164040122537867,0.001,8.556605770808552,0.5656009781757609,0.001,0.001,0.0001,0.0005,9.524468851825924,5.767401131017595,19.763356525207875,59.093964414847235,12.052772392849514,10.001289813670828,1.906421095783406,9.731964610713504,3.3518696491151987,0.5535348,3078.293,0.0,100,50,False,15
21.215820574636172,0.001,0.1,7.71507558071861,0.001,3.2133395110765273,1.6380105019189883,0.001,0.001,0.0001,0.0005,7.946052937364066,6.65339330873009,5.721106433609786,96.32006631598429,12.148820565921598,18.605787546870356,5.564298927757273,7.628619160032898,1.877795278502541,0.85,2180.5708,0.014559449,100,50,False,15
12.686775453974041,0.001,0.1,5.114669846520579,0.001,0.6586134850586811,8.528066811879116,0.001,0.001,0.0001,0.0005,2.8855029713321088,3.987839121637583,6.04432162577083,74.21340260003568,2.1624952320006052,2.744663134689751,5.752607766644977,4.938746578319439,2.339743151198741,0.34703985,1704.6912,0.0,100,50,False,15
11.650128813927402,0.001,0.1,5.3778934260075815,0.001,6.377614468730462,7.708825353330964,0.001,0.001,0.0001,0.0005,7.065703923378459,0.013619287044716044,11.71594859616096,32.19852237966296,4.3566775306759915,13.990453862325591,4.2111753341288,9.137657036689683,2.214464257560438,0.85,2253.1428,0.0025249124,100,50,False,15
27.26204998829949,0.001,0.1,5.088641984130745,0.001,0.4410908101125999,1.6464869015906913,0.001,0.001,0.0001,0.0005,2.1688483601183197,2.820360200948906,8.109484744628556,0.9662191766073858,8.849772180926506,18.379435311519355,6.484519983900762,6.809596013836721,8.732787868036405,0.85,2694.3284,0.011986832,100,50,False,15
6.309463692994538,0.001,0.1,9.49981510328752,0.001,0.8348958464940925,2.9831074843814678,0.001,0.001,0.0001,0.0005,6.207010860571157,5.95558924367399,17.622816374336768,74.79246484959329,0.012746632906743827,1.6191050667516627,5.622339704588012,4.567892010240331,4.250290135163559,0.4053246,1908.5211,0.0,100,50,False,15
30.876769250682045,0.001,0.1,4.708937953096084,0.001,4.867445541195126,0.8481138913629882,0.001,0.001,0.0001,0.0005,2.416107165118102,9.264893482099998,17.15640775636977,66.6794568340655,15.908429254725803,4.89099204755016,4.981925998208945,8.882207629020304,3.404636419543979,0.4594863,2757.8164,0.0,100,50,False,15
38.91813876380855,0.001,0.1,9.248650123687842,0.001,9.996224445960353,7.702170977745329,0.001,0.001,0.0001,0.0005,8.66326011542588,9.198103941673178,12.964829442232658,14.929088979451887,8.351094065721789,16.09064920041574,7.919946768200096,0.5780073790995932,1.3686731105182381,0.85,2456.0784,0.009769498,100,50,False,15
17.848366149611515,0.001,0.1,9.564528395312436,0.001,6.589909254255896,2.3134571814189133,0.001,0.001,0.0001,0.0005,9.256242994243628,3.7563367808182813,13.45993720936037,0.5318363156412875,17.846863054917396,8.733777978211636,1.670760179327665,3.256471912067137,7.929767780319072,0.85,2226.424,0.00041104568,100,50,False,15
19.041677663178824,0.001,0.1,7.215230806929926,0.001,2.4050674788744897,1.31060423911032,0.001,0.001,0.0001,0.0005,0.4870971415727132,5.292853483373758,5.520950563549352,81.56698105998855,18.056604538796645,17.635596339713928,8.42263508009772,5.739843935528258,7.80687743837896,0.85,2445.4934,0.014416949,100,50,False,15
49.56829425793173,0.001,0.1,6.556144019544813,0.001,6.793697624345391,6.978865673397232,0.001,0.001,0.0001,0.0005,6.206815568045878,6.310195716952021,1.5862575490682929,95.64150589554893,10.489969584428042,16.65937637482511,1.0312044734290415,3.2595348456216264,4.590765909984049,0.85,2409.1423,0.007122272,100,50,False,15
16.776198583554503,0.001,0.1,2.866653640615177,0.001,8.362188267126262,6.6373774485993655,0.001,0.001,0.0001,0.0005,4.032469593706555,5.260260240138468,1.7688500638788707,76.49998378983305,3.6656384290573163,18.224143042949045,3.9744572284644484,3.802044160406685,6.390432227262265,0.85,1948.661,0.0042166016,100,50,False,15
