growth_rate,cost,growth_cost,n_batch,n_start,n_candidates
0.5444675382572819,1246.6920646824133,0.00043672976966928996,100,50,15
0.34060438627724465,1443.9555274477416,0.00023588287852554485,100,50,15
0.1560084218586953,1359.854206629126,0.00011472437346457653,100,50,15
0.13572038558215646,1171.9829741978083,0.00011580405907778099,100,50,15
0.2559855996764396,539.632363120451,0.0004743703624374752,100,50,15
0.1979259801706114,1651.3496794150242,0.00011985709788657535,100,50,15
0.35193495873334374,693.944795183827,0.0005071512333198143,100,50,15
0.42583877462028596,786.260190444359,0.0005416003249250366,100,50,15
0.0020149564155847273,1216.7004400037556,1.656082589711653e-06,100,50,15
0.1174708572343413,1372.1093387944509,8.561333555061463e-05,100,50,15
0.03648214866801621,1483.8261115634316,2.4586539072005437e-05,100,50,15
0.08121151781259346,710.3883530338501,0.00011431988920674735,100,50,15
0.22509960979615465,716.3891340382869,0.00031421415973643783,100,50,15
0.385612451524904,1530.557087451063,0.00025194254738128695,100,50,15
0.4097754590236327,1334.275965378973,0.000307114472310265,100,50,15
0.25296744578206304,1268.0911944733425,0.0001994867931301457,100,50,15
0.05460034522119566,889.4294063143499,6.138805939355049e-05,100,50,15
0.4042297213909185,1221.7975880076303,0.0003308483543907553,100,50,15
0.12280738444436158,1744.3287506534261,7.040380685026139e-05,100,50,15
0.13864251020515467,856.0139905732458,0.00016196290216274398,100,50,15
0.6824118645852011,1298.247497548855,0.0005256408087622914,100,50,15
0.4137285475723343,722.3386360884026,0.0005727625893206419,100,50,15
0.16077784875983084,472.50370365754316,0.0003402679122201292,100,50,15
0.23563605332116325,1269.3642517307599,0.00018563312540106346,100,50,15
0.3720285486314514,1058.8788009393625,0.0003513419555679214,100,50,15
0.23130955532762654,1155.0396896415089,0.00020026113163212458,100,50,15
0.29638120933371487,896.4884012991081,0.00033060239140208245,100,50,15
0.33939897037157063,1706.6560550187069,0.00019886782071496558,100,50,15
0.10297528811863467,933.6071433347742,0.00011029830786299976,100,50,15
0.43056981626276863,406.8060170833066,0.0010584155547890917,100,50,15
0.1146636029829882,1360.8403440201823,8.425940889160443e-05,100,50,15
0.41610031097218997,756.4123957831546,0.0005500971603478006,100,50,15
0.40867637154214065,1075.3604713869076,0.00038003663182362,100,50,15
0.1955925748339509,628.7967170429919,0.00031105851785256364,100,50,15
0.20303036713591707,975.1777140863205,0.00020819832549818227,100,50,15
0.4084237443891235,1400.58742047842,0.0002916088909677712,100,50,15
0.3269549497509393,787.9658739416949,0.00041493541860561866,100,50,15
0.43689192303838814,1142.9650341855029,0.0003822443469145362,100,50,15
0.13979367778280397,565.6321839923986,0.0002471459045984601,100,50,15
0.3049923404300831,1481.531317844607,0.0002058629046558385,100,50,15
0.08724248720363795,1132.658588652196,7.702452272705751e-05,100,50,15
0.3550984419348333,1453.0210336626667,0.00024438630529644,100,50,15
0.1967069445893333,960.8673841815347,0.00020471809932115446,100,50,15
0.20844681865663373,964.7970610266456,0.00021605250168861873,100,50,15
0.18616843293159283,1845.6854961577567,0.0001008668233667912,100,50,15
0.19443702594390458,961.0393092731387,0.00020231953476592215,100,50,15
0.18730271295915127,658.9671741602733,0.0002842367879672193,100,50,15
0.3247238105990632,1825.8978492409487,0.0001778433611354849,100,50,15
0.09966363695979041,1710.547088053561,5.826418790563556e-05,100,50,15
0.2883697942319347,1015.4850001929105,0.0002839724803194074,100,50,15
0.0,328.37355739829366,0.0,100,50,15
0.0,295.6113585117987,0.0,100,50,15
0.536202243646767,997.8701305619744,0.0005373467220075943,100,50,15
0.668291396736368,954.2725905907143,0.0007003149868557807,100,50,15
0.6930169777294218,717.9089750131454,0.0009653270844214368,100,50,15
0.5723692893757304,1926.5484384690135,0.0002970957168513136,100,50,15
0.5568305264047586,1543.7021578915385,0.00036071111487290014,100,50,15
0.5706574888966435,957.4530931851558,0.0005960161317127707,100,50,15
0.5269292988194287,1689.5270847281201,0.0003118797582959273,100,50,15
0.7123634449664468,559.0718689786244,0.0012741893922652069,100,50,15
0.0,508.8132506940632,0.0,100,50,15
0.4699940652463389,1312.839674227901,0.0003579980666891019,100,50,15
0.6212995364290238,756.5376835986787,0.0008212406994369963,100,50,15
8.887729034020396e-15,79.86810912642795,1.1128007325115815e-16,100,50,15
0.6691182871544755,1776.2241404469855,0.00037670824977420497,100,50,15
0.0,257.3444381749297,0.0,100,50,15
0.0,140.4428228561885,0.0,100,50,15
0.0,218.5379494014212,0.0,100,50,15
0.0,239.40392500818757,0.0,100,50,15
0.30149590905613244,1209.3428843573456,0.00024930556334016863,100,50,15
0.24159955624949833,457.53587079312376,0.0005280450597910351,100,50,15
0.0,177.65251467130014,0.0,100,50,15
8.637896226909472e-32,309.76515862352414,2.788530596950581e-34,100,50,15
0.0,258.6914116090468,0.0,100,50,15
0.5912190334480516,662.8768009654033,0.0008918988152655359,100,50,15
7.886223151125208e-14,472.52987150245673,1.6689364263999142e-16,100,50,15
1.1032569252145131e-13,102.91431907360972,1.0720149879487673e-15,100,50,15
4.953982508959366e-14,359.0663717453244,1.3796843421675493e-16,100,50,15
0.44980679394443746,705.0484808964729,0.0006379799490845023,100,50,15
2.143366534892636e-14,117.66238811613165,1.8216241988707162e-16,100,50,15
0.0,84.30277805190434,0.0,100,50,15
0.2009487249812152,364.025103281086,0.0005520188667484572,100,50,15
3.556465843330644e-29,203.32630464156168,1.7491420254748836e-31,100,50,15
0.0,513.3606529600614,0.0,100,50,15
0.0,842.5658941550225,0.0,100,50,15
0.0,145.5252990804027,0.0,100,50,15
