EX_pi_e,EX_glc__D_e,EX_mg2_e,EX_ca2_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_cl_e,EX_o2_e,EX_arg__L_e,EX_asn__L_e,EX_gln__L_e,growth rate,medium cost,production rate,is pareto
15.380962246785279,1.719036518548845,6.960028782563619,1.3582067955097277,9.912667898413446,9.260200286124249,19.442394310434153,14.740322540221705,4.884974079168076,5.846789757046757,8.220086396733942,0.464562833417006,0.28385228,2363.476,0.0,False
15.055336213932351,7.607747916440097,1.9868625644703986,5.158657026307909,1.9755582565503016,1.0123847592554047,4.944634131053309,16.421711712442157,2.559267485205874,5.66730169201225,4.761981792251303,7.696134704862471,0.42131552,2144.184,0.0,False
33.27402154389911,5.811976447024843,2.07141776890033,9.158908795392364,3.008348218224718,3.9812482603885857,18.486259771513424,1.9804105730711075,3.536474815055002,7.406098933542862,8.38603916340298,9.365129637847723,0.4329896,3476.9512,0.0,False
44.95388935898552,9.358308558761653,9.121929556242545,4.9661456768286385,2.0964171424817204,9.58907989031264,5.541369752485517,19.58215243024219,0.3475250671025365,4.648305950569717,0.7315524787891781,4.450405964804338,0.27959204,2349.179,0.0,False
20.02158123044666,1.0346045122338925,2.188823797348456,6.455748853918544,0.8154073455170752,1.6832474465756553,6.678760344477421,13.243552073684103,6.157918607518205,8.788622844809854,8.804936994127186,6.825002096898929,0.31864497,2740.5415,0.0,False
21.906316516363848,6.7908759992459835,3.442122075952334,3.3621941602564274,6.9985088984755714,4.692375827244925,15.734444195685862,6.967701858889219,5.248024671355813,8.129328010101363,9.731379079785517,7.420009260463527,0.5838374,3189.636,0.0,False
1.3783895268467572,1.5754389299948754,1.1845804560147066,4.391259726609497,1.3840287077168478,3.298799007255223,2.6420136760623847,2.1250446148918756,0.3877473874324533,9.662281343483833,1.4978905704581247,9.191401357717728,0.044666976,1714.1299,0.0,False
1.9508817819834767,8.361064607714063,9.858748530470757,1.3154257623457988,5.170630204869778,0.030915280395091838,19.273607289635542,12.94175727444081,19.507004376713468,0.8250306435011778,0.019972018132428104,0.8279475958702365,0.4449231,980.9808,0.0,False
23.875690361090875,5.3298874021254345,9.854763826933384,5.326217101535101,9.634749711819426,2.8163729338200794,0.1636329923963542,9.190240953704524,2.163913871439107,6.272439025259429,3.35470120466302,6.378809477966411,0.31526765,2318.252,0.0,False
6.807001284613606,9.347750393769898,2.886814741725332,3.6699821861733817,7.80056131942437,8.442495177434678,4.9854397868713445,3.8466283599795004,19.608005513701258,9.820622220547195,3.217513168258319,9.194451729374913,0.85,2286.481,0.022129562,False
38.74715449060081,2.613043555457714,7.438752087141007,4.460720132508003,3.5910597205138206,6.0298295094212,10.78217760969775,8.761697552580808,2.3177029228990675,5.201467145553599,0.950131206834548,9.493325582814538,0.21492192,2660.5925,0.0,False
47.48115068158613,1.6496458444059816,2.6232839167169777,6.954391477012697,4.846648816914126,7.055285229542388,12.967327123940342,18.478761835485876,0.3716915346943672,7.387352330867066,5.664914689415986,4.945632387265743,0.046763703,3120.9001,0.0,False
46.29117321803728,4.2596211345293185,6.290149619589828,2.497955545829388,6.5498439416335685,9.832798072823138,17.390760859985363,13.14318695990723,16.51601590179221,5.773932546456461,4.727216910383772,3.494845647218663,0.85,2919.1199,0.003281991,False
26.160702198776697,9.718996217155846,2.4923707697854125,2.8957959491975407,3.607555656837449,8.91861850573147,3.901223943689147,4.023737569060524,17.36704600552334,2.4458526327426986,7.812792281492551,7.9015835280602875,0.85,2493.5422,0.02009758,False
36.85227358682422,7.048286956882396,0.6765269695532883,0.2371450744280712,3.058932840611275,0.31008927343051496,8.149486145257256,3.9213952236656424,15.004039420120662,8.439446783153816,6.349777124403139,9.20825850141869,0.85,3021.7383,0.010541817,False
42.08557809634594,3.5228643420364074,3.7764694383713793,9.599119065863887,9.529604243697547,4.043374833802062,17.771738067611658,19.1620557551921,19.123101948347557,3.1108052121035676,5.923407084058389,9.63973774804881,0.85,3398.582,0.00966743,False
34.2885526743416,4.755888896938471,9.613617451309109,4.0775552873354615,8.526668965250895,0.8386927904935937,6.294567298341855,7.47419600654641,19.323253264967942,9.310249783444952,7.53264573019117,5.841430173039162,0.85,3155.7534,0.011721608,False
45.12122332090537,7.581381255184699,7.897317846970254,4.490685510886298,6.695959861900916,0.9371622773769583,18.94202833877109,16.1342079168996,0.9309783832238527,3.4953658956221023,1.21069222125201,6.884426521248698,0.2757322,2801.2798,0.0,False
31.55268314412687,3.6270480911559173,5.229708069896656,3.002892877492828,3.4815904381242824,7.2588309486963,6.403888164653675,7.137324927175763,7.325789836524359,6.552042722097902,5.67640240465246,3.5019556583609344,0.53233945,2379.2031,0.0,False
16.483821446920405,5.277965208027596,1.9843695664160044,9.044112878593754,4.237380363020426,7.315120148405068,16.440664942031322,0.06485423528334922,19.064239881707067,8.808115256692036,8.266630389691489,6.864457880891908,0.85,2937.0847,0.013229443,False
3.8593956251433195,5.005647040917427,6.42177152086083,1.202496647131125,3.912604311354074,0.31052502672626936,15.176480090288555,8.033979156018722,11.725436661154024,5.18741518237527,9.545720259838168,9.697406679864544,0.85,2673.06,5.602778e-05,False
25.682555509058226,1.4706718794097777,0.7060713468906465,5.6182110545228925,0.264629385963715,1.5296796766026777,6.6982540827907915,13.232886369277798,3.256645267025995,9.417946211527758,7.1964873089332855,5.419286495719665,0.20749633,2598.4382,0.0,False
