growth_rate,cost,is_pareto,n_batch,n_start,n_candidates,init_growth_rate,init_cost
0.5444675382572819,1246.6920646824133,False,100,50,15,0.8217947382569936,1239.59670934
0.34060438627724465,1443.9555274477416,False,100,50,15,0.8217947382569936,1239.59670934
0.1560084218586953,1359.854206629126,False,100,50,15,0.8217947382569936,1239.59670934
0.13572038558215646,1171.9829741978083,False,100,50,15,0.8217947382569936,1239.59670934
0.2559855996764396,539.632363120451,False,100,50,15,0.8217947382569936,1239.59670934
0.1979259801706114,1651.3496794150242,False,100,50,15,0.8217947382569936,1239.59670934
0.35193495873334374,693.944795183827,False,100,50,15,0.8217947382569936,1239.59670934
0.42583877462028596,786.260190444359,False,100,50,15,0.8217947382569936,1239.59670934
0.0020149564155847273,1216.7004400037556,False,100,50,15,0.8217947382569936,1239.59670934
0.1174708572343413,1372.1093387944509,False,100,50,15,0.8217947382569936,1239.59670934
0.03648214866801621,1483.8261115634316,False,100,50,15,0.8217947382569936,1239.59670934
0.08121151781259346,710.3883530338501,False,100,50,15,0.8217947382569936,1239.59670934
0.22509960979615465,716.3891340382869,False,100,50,15,0.8217947382569936,1239.59670934
0.385612451524904,1530.557087451063,False,100,50,15,0.8217947382569936,1239.59670934
0.4097754590236327,1334.275965378973,False,100,50,15,0.8217947382569936,1239.59670934
0.25296744578206304,1268.0911944733425,False,100,50,15,0.8217947382569936,1239.59670934
0.05460034522119566,889.4294063143499,False,100,50,15,0.8217947382569936,1239.59670934
0.4042297213909185,1221.7975880076303,False,100,50,15,0.8217947382569936,1239.59670934
0.12280738444436158,1744.3287506534261,False,100,50,15,0.8217947382569936,1239.59670934
0.13864251020515467,856.0139905732458,False,100,50,15,0.8217947382569936,1239.59670934
0.6824118645852011,1298.247497548855,False,100,50,15,0.8217947382569936,1239.59670934
0.4137285475723343,722.3386360884026,False,100,50,15,0.8217947382569936,1239.59670934
0.16077784875983084,472.50370365754316,False,100,50,15,0.8217947382569936,1239.59670934
0.23563605332116325,1269.3642517307599,False,100,50,15,0.8217947382569936,1239.59670934
0.3720285486314514,1058.8788009393625,False,100,50,15,0.8217947382569936,1239.59670934
0.23130955532762654,1155.0396896415089,False,100,50,15,0.8217947382569936,1239.59670934
0.29638120933371487,896.4884012991081,False,100,50,15,0.8217947382569936,1239.59670934
0.33939897037157063,1706.6560550187069,False,100,50,15,0.8217947382569936,1239.59670934
0.10297528811863467,933.6071433347742,False,100,50,15,0.8217947382569936,1239.59670934
0.43056981626276863,406.8060170833066,False,100,50,15,0.8217947382569936,1239.59670934
0.1146636029829882,1360.8403440201823,False,100,50,15,0.8217947382569936,1239.59670934
0.41610031097218997,756.4123957831546,False,100,50,15,0.8217947382569936,1239.59670934
0.40867637154214065,1075.3604713869076,False,100,50,15,0.8217947382569936,1239.59670934
0.1955925748339509,628.7967170429919,False,100,50,15,0.8217947382569936,1239.59670934
0.20303036713591707,975.1777140863205,False,100,50,15,0.8217947382569936,1239.59670934
0.4084237443891235,1400.58742047842,False,100,50,15,0.8217947382569936,1239.59670934
0.3269549497509393,787.9658739416949,False,100,50,15,0.8217947382569936,1239.59670934
