EX_pi_e,EX_mn2_e,EX_fe2_e,EX_glc__D_e,EX_zn2_e,EX_mg2_e,EX_ca2_e,EX_ni2_e,EX_cu2_e,EX_cobalt2_e,EX_mobd_e,EX_so4_e,EX_nh4_e,EX_k_e,EX_na1_e,EX_cl_e,EX_o2_e,growth_rate,cost,growth_per_cost,n_batch,n_start,n_candidates
24.853763460366885,0.001,0.1,9.309996057793825,0.001,5.564257767259477,6.513298538969684,0.001,0.001,0.0001,0.0005,5.20639939670288,5.880203133437557,11.744152903556916,22.282610207372077,0.8496699256932572,16.615512084935922,0.5444675382572819,1246.6920646824133,0.00043672976966928996,100,50,15
37.480005060602586,0.001,0.1,7.696299963273367,0.001,2.278644266142986,5.876802931923879,0.001,0.001,0.0001,0.0005,4.694928977392383,3.877592112263005,9.43864628661877,86.68374179799963,18.43828788101463,6.058087890801918,0.34060438627724465,1443.9555274477416,0.00023588287852554485,100,50,15
26.22303892690298,0.001,0.1,2.013879655953911,0.001,7.178854108091931,3.0649283660473623,0.001,0.001,0.0001,0.0005,6.209937328559977,7.621041468140801,18.35367105054345,57.87537965335143,2.845267285894433,17.08811517834911,0.1560084218586953,1359.854206629126,0.00011472437346457653,100,50,15
39.328224715116974,0.001,0.1,5.921620545267057,0.001,1.123936138108217,2.7385279625176997,0.001,0.001,0.0001,0.0005,3.8398236198402733,2.8516859990672705,0.2668783605555536,2.637580648897453,14.620126141492955,1.7027115786677793,0.13572038558215646,1171.9829741978083,0.00011580405907778099,100,50,15
2.7691353603034985,0.001,0.1,3.121289066392105,0.001,2.668870782159231,0.9979644272346166,0.001,0.001,0.0001,0.0005,6.834091977918404,6.557635069799922,9.021442306999043,14.015158611273748,12.840434425165682,8.593920631410999,0.2559855996764396,539.632363120451,0.0004743703624374752,100,50,15
35.77844785581768,0.001,0.1,2.478184605847862,0.001,4.46581310199457,9.869867698680984,0.001,0.001,0.0001,0.0005,5.670228055061289,5.975524622730768,19.02684851157326,27.44818826883143,1.261300482748986,10.889355487050029,0.1979259801706114,1651.3496794150242,0.00011985709788657535,100,50,15
3.4945552895552012,0.001,0.1,8.13270707390268,0.001,5.773488564535173,6.987057618392676,0.001,0.001,0.0001,0.0005,0.8868841796813332,6.288491336495957,11.5438620848819,38.555223510228664,10.497374672824428,6.067279355672046,0.35193495873334374,693.944795183827,0.0005071512333198143,100,50,15
16.156195935414814,0.001,0.1,6.674306478825843,0.001,0.8967611454741142,1.0943542413254936,0.001,0.001,0.0001,0.0005,7.743409372433132,7.675073651676982,4.07575460789997,41.14660788369584,19.118750823785373,9.355884829758791,0.42583877462028596,786.260190444359,0.0005416003249250366,100,50,15
34.523999706440556,0.001,0.1,1.9923438456812776,0.001,8.166680222186374,7.971445967737809,0.001,0.001,0.0001,0.0005,1.7229113549084063,1.0715063356773058,2.003354518856064,92.05156853527797,4.5594271094691585,0.6145477188010484,0.0020149564155847273,1216.7004400037556,1.656082589711653e-06,100,50,15
46.35952468671598,0.001,0.1,2.344475489529031,0.001,0.7734178624599453,0.38020569480403443,0.001,0.001,0.0001,0.0005,9.6317346818398,1.2686752731080453,0.8060030007891195,14.814026951492831,13.46767076575022,16.569569225258896,0.1174708572343413,1372.1093387944509,8.561333555061463e-05,100,50,15
39.643420735982865,0.001,0.1,5.8193355623987575,0.001,6.42641034389948,0.8630706030241198,0.001,0.001,0.0001,0.0005,7.393089509863115,0.39400410463192315,8.702631512090466,77.72980597157662,15.734648567454979,1.6656660232349307,0.03648214866801621,1483.8261115634316,2.4586539072005437e-05,100,50,15
21.94331959835007,0.001,0.1,1.1870337987367803,0.001,2.245226919965347,2.572339079275263,0.001,0.001,0.0001,0.0005,2.291856761584036,4.816471448695474,1.045448113456393,53.908306232785165,4.782898695138593,6.455432304537796,0.08121151781259346,710.3883530338501,0.00011431988920674735,100,50,15
6.76115254462149,0.001,0.1,2.829565561232312,0.001,5.674574878756371,9.562167781399838,0.001,0.001,0.0001,0.0005,3.635210476116222,6.665322036913386,5.256362365253668,41.89170057554499,16.902926893666773,6.885618437384283,0.22509960979615465,716.3891340382869,0.00031421415973643783,100,50,15
34.74712201096726,0.001,0.1,9.532377852028805,0.001,7.211839527031518,4.314478254673258,0.001,0.001,0.0001,0.0005,5.998174470417501,4.164581699410323,11.526626869065186,95.05095679046184,18.750518145516565,19.178526430719096,0.385612451524904,1530.557087451063,0.00025194254738128695,100,50,15
22.820903879828506,0.001,0.1,6.491596888669124,0.001,0.8095129200421125,9.072385844987226,0.001,0.001,0.0001,0.0005,6.977643905254758,5.0339695729347795,18.819611520829728,95.03642635506533,8.611758709914717,9.015866610144743,0.4097754590236327,1334.275965378973,0.000307114472310265,100,50,15
20.18310813575046,0.001,0.1,8.550551115056987,0.001,9.009517423625438,3.693659725460442,0.001,0.001,0.0001,0.0005,5.473147273506454,2.7320269122134455,17.47469401359932,44.95496418655595,3.8196437459546506,10.939468212989159,0.25296744578206304,1268.0911944733425,0.0001994867931301457,100,50,15
19.515033503278033,0.001,0.1,1.4126361448261742,0.001,3.8329219514415094,4.39411588977028,0.001,0.001,0.0001,0.0005,2.976249782484145,6.518272191065673,7.638017526692067,40.41954775535467,9.48911310613374,2.2770509650225113,0.05460034522119566,889.4294063143499,6.138805939355049e-05,100,50,15
30.943111789576655,0.001,0.1,4.763333170977869,0.001,1.2465805809619557,5.926240005351425,0.001,0.001,0.0001,0.0005,2.672262777703651,4.907218005246258,10.289117386111972,63.61588259018305,15.048272050273264,16.88695744742823,0.4042297213909185,1221.7975880076303,0.0003308483543907553,100,50,15
