growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.7439081,1998.9436,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,1873.2217,0.009536803,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.64514935,3104.301,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.37330967,2473.4045,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.33152604,1382.02,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.3570446,1195.3153,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.2956564,1874.6687,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.3303352,3190.4841,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2210.2927,0.018909233,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2496.7874,0.013051322,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.82661885,1961.1749,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1765.1388,0.05120279,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1478.8411,0.047874246,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,889.2476,0.01205017,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,2622.8442,0.056031737,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1140.9235,0.02202395,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1269.4486,0.04823512,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,2180.2942,0.05359777,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2440.5464,0.01916217,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,732.1595,0.007422148,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.2120037,2217.0925,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1015.60767,0.053023357,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,824.40045,0.05195138,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1019.5993,0.05120696,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,2072.2966,0.054153122,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.7832317,1436.4985,0.017111126,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,775.35516,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2157.4834,0.014354528,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,763.443,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0,1000.66174,0.007706054,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,3257.3738,0.015715325,50,50,20,0.85,2210.8624803400003,0.02107383707725203
