growth_rate,cost,is_pareto,n_batch,n_start,n_candidates
0.42395586,122.19612,False,30,30,10
0.3446572,682.83856,False,30,30,10
0.29523537,1026.6194,False,30,30,10
0.4308292,824.6793,False,30,30,10
0.3131326,438.43686,False,30,30,10
0.6029078,359.03394,False,30,30,10
0.0,152.78014,False,30,30,10
0.40895057,241.6109,False,30,30,10
0.17870663,1087.1252,False,30,30,10
0.5337364,298.87683,False,30,30,10
0.06777734,716.6265,False,30,30,10
0.21617424,297.95813,False,30,30,10
0.5513483,971.6354,False,30,30,10
0.12322551,314.86557,False,30,30,10
0.72893566,548.80194,False,30,30,10
0.0,505.0499,False,30,30,10
0.15594198,1195.74,False,30,30,10
0.30034542,674.9337,False,30,30,10
0.20530412,576.09436,False,30,30,10
0.3429212,526.2274,False,30,30,10
0.1719242,1133.8921,False,30,30,10
0.1111008,1148.9286,False,30,30,10
0.2539754,998.63885,False,30,30,10
0.504532,559.44165,False,30,30,10
0.19134101,1234.7261,False,30,30,10
0.15788461,999.62665,False,30,30,10
0.3869398,833.77936,False,30,30,10
0.39219713,655.5994,False,30,30,10
0.049278438,633.2639,False,30,30,10
0.37153292,834.6318,False,30,30,10
0.0,94.15732,False,30,30,10
0.0,95.43664,False,30,30,10
0.0,95.3569,False,30,30,10
0.0,91.62962,False,30,30,10
0.32204193,435.66556,False,30,30,10
0.60702664,609.4492,False,30,30,10
0.0,94.44762,False,30,30,10
0.67080843,1083.1528,False,30,30,10
0.2687178,238.1225,False,30,30,10
1.2560649e-15,94.542465,False,30,30,10
0.6525454,421.49286,False,30,30,10
0.43625027,141.55583,False,30,30,10
0.69132787,480.8084,False,30,30,10
3.8723966e-15,107.19451,False,30,30,10
0.5645715,278.5353,False,30,30,10
0.5856462,315.76923,False,30,30,10
0.6753589,445.97134,False,30,30,10
0.49735856,229.405,False,30,30,10
0.73302513,537.2328,False,30,30,10
0.048384972,78.19003,False,30,30,10
0.65381503,393.0175,False,30,30,10
0.63925725,337.07513,False,30,30,10
0.7755653,698.7559,False,30,30,10
0.4010532,106.917854,False,30,30,10
0.1499268,84.44976,False,30,30,10
0.13370912,87.016655,False,30,30,10
0.704035,487.4151,False,30,30,10
0.5631027,171.96046,False,30,30,10
0.6058602,264.90503,False,30,30,10
0.7469274,582.3467,False,30,30,10
0.41549245,112.021454,False,30,30,10
0.3759475,95.408745,False,30,30,10
0.4612956,124.33027,False,30,30,10
0.7214412,516.7509,False,30,30,10
0.7922692,682.1957,False,30,30,10
0.5017839,263.3119,False,30,30,10
0.4413271,190.07352,False,30,30,10
0.41117978,150.5195,False,30,30,10
0.3910772,116.39075,False,30,30,10
0.65662646,611.0505,False,30,30,10
0.72805685,459.12796,False,30,30,10
0.5780847,154.87653,False,30,30,10
3.3724293e-17,145.90771,False,30,30,10
0.69582933,369.06458,False,30,30,10
0.7540523,526.5695,False,30,30,10
0.7782879,609.72986,False,30,30,10
2.420248e-16,7.76,False,30,30,10
0.730882,503.13086,False,30,30,10
0.4177116,107.011185,False,30,30,10
0.6928466,401.15698,False,30,30,10
0.8185163,531.5775,False,30,30,10
0.7451526,324.7561,False,30,30,10
0.6640069,233.92575,False,30,30,10
0.3931867,106.19621,False,30,30,10
0.60360783,174.13545,False,30,30,10
5.3622327e-15,34.13667,False,30,30,10
0.6331441,199.65564,False,30,30,10
0.74489844,281.80396,False,30,30,10
0.82556236,453.09735,False,30,30,10
0.79742396,362.00204,False,30,30,10
0.5863392,148.32536,False,30,30,10
0.65428835,181.61594,False,30,30,10
0.81323415,365.40247,False,30,30,10
0.7821347,275.34332,False,30,30,10
0.30896658,90.9374,False,30,30,10
1.1570377e-15,49.66426,False,30,30,10
0.8293479,323.9177,False,30,30,10
0.76092327,243.30371,False,30,30,10
0.7367603,222.88287,False,30,30,10
0.83261365,434.98083,False,30,30,10
0.83261365,213.45804,False,30,30,10
0.82191956,184.54695,False,30,30,10
0.47945252,107.90781,False,30,30,10
0.10946563,48.08903,True,30,30,10
0.70357674,152.29086,False,30,30,10
0.62511915,146.3795,False,30,30,10
0.6109299,137.96974,False,30,30,10
0.758267,165.30112,False,30,30,10
0.49176764,115.02144,False,30,30,10
0.83261365,244.56046,False,30,30,10
0.6168757,133.75308,False,30,30,10
